2019-01-29 20:25:34,696 [INFO]: start action
2019-01-29 20:25:58,222 [INFO]: start action
2019-01-29 20:28:38,970 [INFO]: start action
2019-01-29 20:37:02,353 [INFO]: start action
2019-01-29 20:38:52,650 [INFO]: start action
2019-01-29 20:39:55,123 [INFO]: start action
2019-01-29 20:40:34,360 [INFO]: start action
2019-01-29 20:40:51,073 [INFO]: start action
2019-01-29 21:48:12,870 [INFO]: start action
2019-01-29 22:11:31,117 [INFO]: start action
2019-01-29 22:11:58,394 [INFO]: start action
2019-01-29 22:12:25,485 [INFO]: start action
2019-01-29 22:14:03,752 [INFO]: start action
2019-01-29 22:14:16,511 [INFO]: start action
2019-01-29 22:14:17,592 [INFO]: This network is trained from scratch
2019-01-29 22:14:18,075 [INFO]: Starting training from step 0...
2019-01-29 22:14:19,186 [INFO]: step 0: gen_loss 0.572348, dis_loss 2.598088 (57.6 examples/sec; 1.111 sec/batch)
2019-01-29 22:14:19,186 [INFO]: 100000 iterations left,expected to finsh at Y-01-31 05:06:48 (avg speed: 1.111 sec/batch)
2019-01-29 22:14:19,199 [DEBUG]: Saving checkpoint ...
2019-01-29 22:14:20,555 [INFO]: step 100: gen_loss 0.800995, dis_loss 1.415967 (4181.8 examples/sec; 0.015 sec/batch)
2019-01-29 22:14:20,556 [INFO]: 99900 iterations left,expected to finsh at Y-01-29 22:55:14 (avg speed: 0.025 sec/batch)
2019-01-29 22:14:21,979 [INFO]: step 200: gen_loss 0.617492, dis_loss 1.499072 (4323.9 examples/sec; 0.015 sec/batch)
2019-01-29 22:14:21,979 [INFO]: 99800 iterations left,expected to finsh at Y-01-29 22:46:40 (avg speed: 0.019 sec/batch)
2019-01-29 22:14:23,409 [INFO]: step 300: gen_loss 0.810636, dis_loss 1.370469 (4449.9 examples/sec; 0.014 sec/batch)
2019-01-29 22:14:23,409 [INFO]: 99700 iterations left,expected to finsh at Y-01-29 22:43:50 (avg speed: 0.018 sec/batch)
2019-01-29 22:14:24,807 [INFO]: step 400: gen_loss 1.067671, dis_loss 1.359724 (4160.2 examples/sec; 0.015 sec/batch)
2019-01-29 22:14:24,807 [INFO]: 99600 iterations left,expected to finsh at Y-01-29 22:42:16 (avg speed: 0.017 sec/batch)
2019-01-29 22:14:26,221 [INFO]: step 500: gen_loss 0.888853, dis_loss 1.354855 (4154.4 examples/sec; 0.015 sec/batch)
2019-01-29 22:14:26,222 [INFO]: 99500 iterations left,expected to finsh at Y-01-29 22:41:24 (avg speed: 0.016 sec/batch)
2019-01-29 22:14:27,627 [INFO]: step 600: gen_loss 0.691119, dis_loss 1.432383 (4264.7 examples/sec; 0.015 sec/batch)
2019-01-29 22:14:27,627 [INFO]: 99400 iterations left,expected to finsh at Y-01-29 22:40:47 (avg speed: 0.016 sec/batch)
2019-01-29 22:14:29,043 [INFO]: step 700: gen_loss 0.836256, dis_loss 1.424509 (4113.1 examples/sec; 0.016 sec/batch)
2019-01-29 22:14:29,043 [INFO]: 99300 iterations left,expected to finsh at Y-01-29 22:40:22 (avg speed: 0.016 sec/batch)
2019-01-29 22:14:30,464 [INFO]: step 800: gen_loss 0.705352, dis_loss 1.427184 (4417.7 examples/sec; 0.014 sec/batch)
2019-01-29 22:14:30,464 [INFO]: 99200 iterations left,expected to finsh at Y-01-29 22:40:04 (avg speed: 0.015 sec/batch)
2019-01-29 22:14:30,749 [INFO]: Killed by C
