2019-01-17 17:15:30,305 [INFO]: start action
2019-01-17 17:17:40,506 [INFO]: start action
2019-01-17 17:58:18,783 [INFO]: start action
2019-01-17 17:58:46,067 [INFO]: start action
2019-01-17 17:58:47,305 [INFO]: This network is trained from scratch
2019-01-17 17:58:48,134 [INFO]: Starting training from step 0...
2019-01-17 17:58:51,579 [INFO]: step 0: gen_loss 0.810868, dis_loss 1.396608 (37.2 examples/sec; 3.445 sec/batch)
2019-01-17 17:58:51,580 [INFO]: 100000 iterations left,expected to finsh at Y-01-21 17:41:07 (avg speed: 3.445 sec/batch)
2019-01-17 17:58:51,929 [DEBUG]: Saving checkpoint ...
2019-01-17 17:58:58,232 [INFO]: step 100: gen_loss 0.817683, dis_loss 1.385090 (2058.5 examples/sec; 0.062 sec/batch)
2019-01-17 17:58:58,233 [INFO]: 99900 iterations left,expected to finsh at Y-01-17 20:45:26 (avg speed: 0.100 sec/batch)
2019-01-17 17:59:04,145 [INFO]: step 200: gen_loss 0.830845, dis_loss 1.362204 (2063.1 examples/sec; 0.062 sec/batch)
2019-01-17 17:59:04,145 [INFO]: 99800 iterations left,expected to finsh at Y-01-17 20:11:34 (avg speed: 0.080 sec/batch)
2019-01-17 17:59:09,969 [INFO]: step 300: gen_loss 0.873573, dis_loss 1.298571 (2276.7 examples/sec; 0.056 sec/batch)
2019-01-17 17:59:09,969 [INFO]: 99700 iterations left,expected to finsh at Y-01-17 19:59:42 (avg speed: 0.073 sec/batch)
2019-01-17 17:59:15,604 [INFO]: step 400: gen_loss 1.365916, dis_loss 0.385874 (2266.6 examples/sec; 0.056 sec/batch)
2019-01-17 17:59:15,604 [INFO]: 99600 iterations left,expected to finsh at Y-01-17 19:52:58 (avg speed: 0.069 sec/batch)
2019-01-17 17:59:21,282 [INFO]: step 500: gen_loss 1.286343, dis_loss 1.370501 (2250.0 examples/sec; 0.057 sec/batch)
2019-01-17 17:59:21,282 [INFO]: 99500 iterations left,expected to finsh at Y-01-17 19:49:04 (avg speed: 0.066 sec/batch)
2019-01-17 17:59:26,971 [INFO]: step 600: gen_loss 1.004545, dis_loss 0.692578 (2246.9 examples/sec; 0.057 sec/batch)
2019-01-17 17:59:26,971 [INFO]: 99400 iterations left,expected to finsh at Y-01-17 19:46:30 (avg speed: 0.065 sec/batch)
2019-01-17 17:59:32,654 [INFO]: step 700: gen_loss 0.865318, dis_loss 1.140565 (2259.2 examples/sec; 0.057 sec/batch)
2019-01-17 17:59:32,655 [INFO]: 99300 iterations left,expected to finsh at Y-01-17 19:44:39 (avg speed: 0.064 sec/batch)
2019-01-17 17:59:38,343 [INFO]: step 800: gen_loss 1.264131, dis_loss 1.275612 (2252.3 examples/sec; 0.057 sec/batch)
2019-01-17 17:59:38,343 [INFO]: 99200 iterations left,expected to finsh at Y-01-17 19:43:16 (avg speed: 0.063 sec/batch)
2019-01-17 17:59:44,035 [INFO]: step 900: gen_loss 0.823155, dis_loss 1.222590 (2237.7 examples/sec; 0.057 sec/batch)
