2019-01-14 10:21:31,165 [INFO]: start action
2019-01-14 10:21:33,639 [INFO]: Restore weights from ./checkpoints/mlp/model.ckpt-10000
2019-01-14 10:21:35,213 [INFO]: Starting training from step 10001...
2019-01-14 10:26:15,806 [INFO]: start action
2019-01-14 10:26:17,725 [INFO]: This network is trained from scratch
2019-01-14 10:26:19,167 [INFO]: Starting training from step 0...
2019-01-14 10:26:25,409 [INFO]: step 0: gen_loss 1.524102, dis_loss 1.638519 (20.5 examples/sec; 6.241 sec/batch)
2019-01-14 10:26:25,409 [INFO]: 10000 iterations left,expected to finsh at Y-01-15 03:46:41 (avg speed: 6.242 sec/batch)
2019-01-14 10:26:25,409 [DEBUG]: Saving checkpoint ...
2019-01-14 10:27:10,846 [INFO]: step 10: gen_loss 0.909256, dis_loss 1.086016 (30.7 examples/sec; 4.163 sec/batch)
2019-01-14 10:27:10,846 [INFO]: 9990 iterations left,expected to finsh at Y-01-14 23:29:24 (avg speed: 4.698 sec/batch)
2019-01-14 10:27:53,478 [INFO]: step 20: gen_loss 0.906669, dis_loss 0.902986 (32.2 examples/sec; 3.972 sec/batch)
2019-01-14 10:27:53,478 [INFO]: 9980 iterations left,expected to finsh at Y-01-14 22:54:53 (avg speed: 4.491 sec/batch)
2019-01-14 10:28:34,485 [INFO]: step 30: gen_loss 0.889990, dis_loss 0.820384 (32.6 examples/sec; 3.928 sec/batch)
2019-01-14 10:28:34,485 [INFO]: 9970 iterations left,expected to finsh at Y-01-14 22:33:54 (avg speed: 4.365 sec/batch)
2019-01-14 10:29:16,292 [INFO]: step 40: gen_loss 0.869406, dis_loss 0.758750 (31.5 examples/sec; 4.068 sec/batch)
2019-01-14 10:29:16,293 [INFO]: 9960 iterations left,expected to finsh at Y-01-14 22:26:24 (avg speed: 4.320 sec/batch)
2019-01-14 10:29:56,767 [INFO]: step 50: gen_loss 0.836799, dis_loss 0.816904 (32.9 examples/sec; 3.891 sec/batch)
2019-01-14 10:29:56,767 [INFO]: 9950 iterations left,expected to finsh at Y-01-14 22:17:30 (avg speed: 4.267 sec/batch)
2019-01-14 10:30:35,995 [INFO]: step 60: gen_loss 0.829853, dis_loss 0.762890 (32.9 examples/sec; 3.885 sec/batch)
2019-01-14 10:30:35,995 [INFO]: 9940 iterations left,expected to finsh at Y-01-14 22:08:06 (avg speed: 4.210 sec/batch)
